VSH_TAU_0,VSH_TAU_SAT,VSH_B,AI_N,AI_GAMMA0,VIHR_S0,VIHR_R,VIHR_D,GPL_N,GPL_ETA,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
100.0,1500.0,0.1,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.50663637578229,327.41,357.07,378.61,406.59,427.07,453.73,473.25,498.67,523.39,541.48,565.0,587.84,610.0,631.5,652.32,672.48,691.98,710.82,733.45,750.83,771.64,787.57,806.59,824.62,841.65
100.0,1500.0,0.1,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.50428674023441,300.23,322.03,342.74,369.39,388.86,414.24,432.89,457.27,475.19,498.61,521.48,543.79,565.54,586.7,607.26,627.2,646.51,665.16,687.51,704.61,724.94,744.05,761.82,778.09,792.61
100.0,1500.0,0.1,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.50119766131765,289.71,311.76,332.37,358.82,378.05,396.83,421.53,439.57,463.26,486.44,503.48,525.74,547.45,568.59,589.13,609.05,628.33,651.48,669.22,690.35,706.33,724.99,741.91,756.59,770.14
100.0,1500.0,0.1,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.49835698578827,284.18,306.48,327.08,346.87,372.32,391.06,409.54,433.62,457.19,474.53,497.21,519.36,540.97,562.01,582.45,602.28,621.48,640.01,662.19,679.07,698.92,717.09,733.01,745.66,754.26
100.0,1500.0,1.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.30743854633455,431.97,534.98,610.4,734.51,832.49,929.36,1025.2,1120.0,1237.2,1330.0,1422.2,1513.6,1604.5,1717.3,1807.0,1896.2,1985.1,2073.5,2161.6,2249.2,2336.5,2423.4,2488.3,2574.5,2660.2
100.0,1500.0,1.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.32141503264799,408.82,490.53,592.48,716.31,813.41,909.0,1026.6,1119.3,1233.7,1324.0,1413.5,1502.1,1611.7,1698.5,1784.5,1869.8,1954.4,2038.1,2121.1,2203.2,2264.2,2344.7,2424.1,2482.9,2560.3
100.0,1500.0,1.0,10.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.32891590666967,363.76,481.28,582.72,705.03,800.73,894.89,1010.7,1101.9,1214.5,1303.3,1391.3,1478.3,1586.0,1671.1,1755.5,1839.0,1921.6,2003.3,2084.1,2163.9,2222.9,2300.6,2377.0,2433.2,2506.8
100.0,1500.0,1.0,15.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.33201104347763,357.78,477.74,578.97,700.67,795.83,889.44,1004.5,1095.2,1207.1,1295.4,1382.8,1469.2,1576.1,1660.6,1744.3,1827.1,1908.9,1989.8,2069.7,2148.4,2206.6,2283.1,2357.9,2412.9,2484.3
100.0,1500.0,1.0,20.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.33378170346546,354.67,475.91,577.01,698.36,793.23,886.54,1001.3,1091.7,1203.1,1291.1,1378.2,1464.3,1570.8,1654.9,1738.2,1820.6,1902.0,1982.4,2061.8,2139.9,2197.7,2273.4,2347.4,2401.5,2471.6
100.0,1500.0,10.0,1.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.19470740667902,497.62,642.99,813.67,1009.2,1165.5,1316.7,1463.5,1606.4,1718.4,1855.8,1964.0,2070.8,2176.5,2281.2,2385.1,2488.2,2565.2,2667.4,2743.8,2845.3,2921.3,2997.1,3072.9,3148.5,3224.1
100.0,1500.0,10.0,5.0,3.3333e-05,107.0,8600.0,0.25,4.5,1450.0,0.12179519429587,412.21,635.47,822.35,999.54,1202.5,1365.0,1553.4,1705.7,1854.4,1971.0,2114.4,2255.3,2366.6,2476.7,2585.7,2693.9,2774.4,2881.2,2960.8,3040.1,3119.0,3197.7,3276.0,3328.1,3406.0
