tau_s,b,tau_0,gamma_0,n,x_end,y_1,y_2,y_3,y_4,y_5,y_6,y_7,y_8,y_9,y_10,y_11,y_12,y_13,y_14,y_15,y_16,y_17,y_18,y_19,y_20,y_21,y_22,y_23,y_24,y_25
500,10,500,3.33e-05,3,36000000.0,0.0091679,0.014696,0.014696,0.023133,0.023133,0.030264,0.030264,0.030264,0.036627,0.036627,0.042492,0.042492,0.042492,0.048014,0.048014,0.053291,0.053291,0.05839,0.05839,0.05839,0.06336,0.06336,0.068238,0.068238,0.070545
500,10,500,3.33e-05,4,36000000.0,0.0012224,0.0018196,0.0018196,0.0028726,0.0028726,0.0028726,0.0028726,0.0046288,0.0046288,0.0046288,0.0046288,0.0046288,0.0046288,0.0067395,0.0067395,0.0067395,0.0067395,0.0067395,0.0067395,0.0085599,0.0085599,0.0085599,0.0085599,0.0085599,0.0089574
500,10,500,3.33e-05,5,283.55349999999,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050971,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972,0.00050972
1500,100,100,3.33e-05,1,173644.1855,0.0094274,0.016151,0.029475,0.029475,0.04288,0.04288,0.056414,0.056414,0.070091,0.070091,0.08392,0.08392,0.097908,0.097908,0.11201,0.11912,0.12627,0.13347,0.14071,0.14071,0.15543,0.15543,0.17038,0.17787,0.18441
1500,100,100,3.33e-05,2,7355131.4943,0.0073822,0.011077,0.017928,0.024669,0.024669,0.031423,0.031423,0.045557,0.045557,0.052794,0.06039,0.06039,0.068171,0.072179,0.080513,0.084889,0.089461,0.099626,0.1051,0.11371,0.12323,0.13044,0.14088,0.15077,0.15869
1500,100,100,3.33e-05,3,36000000.0,0.003801,0.0048166,0.0048166,0.0062953,0.0062953,0.0062953,0.0062953,0.0085926,0.0085926,0.0085926,0.0085926,0.0085926,0.0085926,0.011472,0.011472,0.011472,0.011472,0.011472,0.011472,0.014157,0.014157,0.014157,0.014157,0.014157,0.014754
1500,100,100,3.33e-05,4,36000000.0,0.0017319,0.0019813,0.0019813,0.0022855,0.0022855,0.0022855,0.0022855,0.0026612,0.0026612,0.0026612,0.0026612,0.0026612,0.0026612,0.0030341,0.0030341,0.0030341,0.0030341,0.0030341,0.0030341,0.0033243,0.0033243,0.0033243,0.0033243,0.0033243,0.0033865
1500,100,100,3.33e-05,5,36000000.0,0.0011406,0.0012509,0.0012509,0.0013779,0.0013779,0.0013779,0.0013779,0.0015249,0.0015249,0.0015249,0.0015249,0.0015249,0.0015249,0.0016622,0.0016622,0.0016622,0.0016622,0.0016622,0.0016622,0.0017642,0.0017642,0.0017642,0.0017642,0.0017642,0.0017859
1500,100,200,3.33e-05,1,194615.7055,0.008873,0.015215,0.021467,0.02771,0.040298,0.040298,0.052999,0.065826,0.065826,0.078788,0.078788,0.091891,0.10514,0.10514,0.11181,0.11851,0.13208,0.13891,0.14578,0.15974,0.15974,0.17396,0.18109,0.18825,0.19544
1500,100,200,3.33e-05,2,7355131.4943,0.0067385,0.01008,0.016194,0.016194,0.028211,0.028211,0.034222,0.034222,0.040279,0.046394,0.052576,0.052576,0.05883,0.065169,0.065169,0.071611,0.078237,0.081583,0.084974,0.088421,0.095634,0.099381,0.10518,0.11141,0.11672
1500,100,200,3.33e-05,3,36000000.0,0.0033977,0.0043247,0.0043247,0.0056562,0.0056562,0.0056562,0.0056562,0.0076865,0.0076865,0.0076865,0.0076865,0.0076865,0.0076865,0.010184,0.010184,0.010184,0.010184,0.010184,0.010184,0.012483,0.012483,0.012483,0.012483,0.012483,0.012993
1500,100,200,3.33e-05,4,36000000.0,0.0014667,0.0016989,0.0016989,0.0019815,0.0019815,0.0019815,0.0019815,0.0023292,0.0023292,0.0023292,0.0023292,0.0023292,0.0023292,0.0026728,0.0026728,0.0026728,0.0026728,0.0026728,0.0026728,0.0029392,0.0029392,0.0029392,0.0029392,0.0029392,0.0029963
1,10,100,3.33e-05,1,10905.1903,0.0070573,0.013586,0.026753,0.026753,0.040024,0.040024,0.053416,0.053416,0.066939,0.066939,0.080604,0.080604,0.094418,0.10136,0.10834,0.11536,0.12242,0.12952,0.12952,0.14393,0.15119,0.15119,0.16593,0.17332,0.18074
1500,100,200,3.33e-05,5,36000000.0,0.0009112,0.0010126,0.0010126,0.0011304,0.0011304,0.0011304,0.0011304,0.0012671,0.0012671,0.0012671,0.0012671,0.0012671,0.0012671,0.0013949,0.0013949,0.0013949,0.0013949,0.0013949,0.0013949,0.0014899,0.0014899,0.0014899,0.0014899,0.0014899,0.00151
